,fakeid,fakeid0,female0,famid0,year0,age0,eduyrs0,famsize0,kfamincly0,tlabincly0,klabincly0,knlabincly0,wage_inc0,hrs_house0,hrs_workly0,race0,college0,employdB0,fulltimely0,lowincly0,fakeid1,female1,famid1,year1,age1,eduyrs1,famsize1,kfamincly1,tlabincly1,klabincly1,knlabincly1,wage_inc1,hrs_house1,hrs_workly1,race1,college1,employdB1,fulltimely1,lowincly1
214,1087,1087,Male,272,2021,46,12,3,96.599998,82.949997,33.599998,262.50003,15.999999,7,40.384617,Black,No,1,Full-time (1750+ hours),0,1087,Female,272,2021,47,14,3,96.599998,82.949997,49.349998,262.50003,24.191175,10,39.23077,Black,No,1,Full-time (1750+ hours),0
216,1095,1095,Male,274,2021,39,16,4,183.22499,178.49998,57.749996,90.865501,35.648148,6,31.153847,White,Yes,1,Part-time (50-1749 hours),0,1095,Female,274,2021,37,16,4,183.22499,178.49998,120.74999,90.865501,44.805191,12,51.826923,White,Yes,1,Full-time (1750+ hours),0
227,1142,1142,Male,286,2021,47,16,3,236.24998,210.0,157.5,504.8074,75.721153,5,40.0,White,Yes,1,Full-time (1750+ hours),0,1142,Female,286,2021,49,16,3,236.24998,210.0,52.499996,504.8074,61.188808,7,16.5,White,Yes,1,Part-time (50-1749 hours),0
228,1151,1151,Male,288,2021,68,14,2,156.39749,125.99999,79.799995,584.56726,40.714283,10,37.692307,White,Yes,1,Full-time (1750+ hours),0,1151,Female,288,2021,60,14,2,156.39749,125.99999,46.199997,584.56726,27.080891,7,32.807693,White,Yes,1,Part-time (50-1749 hours),0
230,1168,1168,Male,292,2021,65,16,2,277.47614,276.14996,173.24998,25.503305,66.634613,4,50.0,Other,Unknown,1,Full-time (1750+ hours),0,1168,Female,292,2021,59,16,2,277.47614,276.14996,102.89999,25.503305,43.974358,10,45.0,Other,Yes,1,Full-time (1750+ hours),0
231,1175,1175,Male,294,2021,37,16,2,379.78497,356.99997,230.99998,438.17316,75.490196,6,58.846153,White,Yes,1,Full-time (1750+ hours),0,1175,Female,294,2021,36,16,2,379.78497,356.99997,125.99999,438.17316,73.684204,7,32.884617,Other,Yes,1,Part-time (50-1749 hours),0
232,1177,1177,Male,295,2021,46,16,4,408.76498,383.25,220.49998,490.67276,73.5,4,57.692307,White,Yes,1,Full-time (1750+ hours),0,1177,Female,295,2021,41,17,4,408.76498,383.25,162.75,490.67276,75.347221,12,41.53846,White,Yes,1,Full-time (1750+ hours),0
235,1190,1190,Male,298,2021,57,12,2,59.862598,59.849998,36.75,0.24230663,18.014706,2,39.23077,White,No,1,Full-time (1750+ hours),0,1190,Female,298,2021,64,12,2,59.862598,59.849998,23.099998,0.24230663,12.941175,40,34.326923,White,No,1,Full-time (1750+ hours),0
236,1207,1207,Male,302,2021,42,15,4,98.174995,82.424995,79.799995,302.88461,40.060238,7,38.307693,White,No,1,Full-time (1750+ hours),0,1207,Female,302,2021,42,16,4,98.174995,82.424995,2.625,302.88461,11.170212,30,4.5192308,White,Yes,0,Part-time (50-1749 hours),0
237,1215,1215,Male,304,2021,70,16,2,179.02499,161.7,157.5,333.173,75.721153,15,40.0,Other,Yes,0,Full-time (1750+ hours),0,1215,Female,304,2021,66,16,2,179.02499,161.7,4.1999998,333.173,15.272727,30,5.2884617,Other,Yes,0,Part-time (50-1749 hours),0
241,1226,1226,Male,307,2021,47,14,5,225.61034,220.5,136.5,98.275696,81.25,4,32.307693,White,Yes,1,Part-time (50-1749 hours),0,1226,Female,307,2021,44,17,5,225.61034,220.5,84.0,98.275696,97.222221,5,16.615385,White,Yes,1,Part-time (50-1749 hours),0
245,1241,1241,Male,311,2021,64,14,2,529.19995,525.0,488.24997,80.768295,268.26923,2,35.0,White,No,1,Full-time (1750+ hours),0,1241,Female,311,2021,61,13,2,529.19995,525.0,36.75,80.768295,20.192307,20,35.0,White,No,1,Full-time (1750+ hours),0
